Iteration,Hash Function,Speed (s),Collisions,Per-Image Resistance,Second-per-Image Resistance (s),Entropy,Memory Usage (MiB),Efficiency Score
43,SHA-3-512,0.015493392944335938,8503,True,0.6986215114593506,5.90625,0.0,0.00011767323428766956
43,MD5,0.0,8501,True,0.6778080463409424,4.0,0.0,0.00011767474699929257
44,SHA-256,0.0,8502,True,0.6869330406188965,4.8125,0.0,0.00011767215067918756
44,SHA-512,0.0,8502,True,0.6848771572113037,5.71875,0.0,0.00011768470062115317
44,SHA-3-256,0.0,8501,True,0.6730518341064453,4.9375,0.0,0.00011768773031856459
44,SHA-3-512,0.0,8502,True,0.6885824203491211,5.90625,0.0,0.00011768729749509804
44,MD5,0.0,8501,True,0.6874380111694336,4.0,0.0,0.00011767474699929257
45,SHA-256,0.0,8505,True,0.6858432292938232,4.8125,0.0,0.00011763062513325206
45,SHA-512,0.0,8500,True,0.714658260345459,5.71875,0.0,0.00011771240651979453
45,SHA-3-256,0.0,8502,True,0.6875944137573242,4.9375,0.0,0.0001176738815465276
45,SHA-3-512,0.0,8504,True,0.7213780879974365,5.90625,0.0,0.00011765960341359786
45,MD5,0.0,8500,True,0.6874392032623291,4.0,0.0,0.00011768859597504864
46,SHA-256,0.0,8501,True,0.7661919593811035,4.8125,0.0,0.00011768599904379987
46,SHA-512,0.0,8504,True,0.6899058818817139,5.71875,0.0,0.00011765700776168435
46,SHA-3-256,0.0009906291961669922,8504,True,0.7320699691772461,4.9375,0.0,0.00011764618006705803
46,SHA-3-512,0.0,8505,True,0.6922056674957275,5.90625,0.0,0.00011764576125998471
46,MD5,0.0,8502,True,0.8269481658935547,4.0,0.0,0.00011766090128250244
47,SHA-256,0.0,8502,True,0.7352497577667236,4.8125,0.0,0.00011767215067918756
47,SHA-512,0.0,8502,True,0.8597273826599121,5.71875,0.0,0.00011768470062115317
47,SHA-3-256,0.0,8503,True,0.9143922328948975,4.9375,0.0,0.00011766003603338465
47,SHA-3-512,0.015630722045898438,8501,True,1.0000500679016113,5.90625,0.0,0.00011770093288452964
47,MD5,0.0,8502,True,0.7186741828918457,4.0,0.0,0.00011766090128250244
48,SHA-256,0.0,8502,True,0.7821691036224365,4.8125,0.0,0.00011767215067918756
48,SHA-512,0.0,8501,True,0.7541015148162842,5.71875,0.0,0.00011769855194000178
48,SHA-3-256,0.0,8502,True,0.7731704711914062,4.9375,0.0,0.0001176738815465276
48,SHA-3-512,0.0,8500,True,0.819025993347168,5.90625,0.0,0.00011771500461663395
48,MD5,0.0,8503,True,0.8076367378234863,4.0,0.0,0.00011764705882352803
49,SHA-256,0.0,8502,True,0.818854808807373,4.8125,0.0,0.00011767215067918756
49,SHA-512,0.0,8503,True,0.8085834980010986,5.71875,0.0,0.00011767085256209757
49,SHA-3-256,0.0,8501,True,0.8135578632354736,4.9375,0.0,0.00011768773031856459
49,SHA-3-512,0.0,8501,True,0.741830587387085,5.90625,0.0,0.00011770114942528596
49,MD5,0.0,8502,True,0.7729556560516357,4.0,0.0,0.00011766090128250244
50,SHA-256,0.0,8504,True,0.7444450855255127,4.8125,0.0,0.0001176444637250635
50,SHA-512,0.0,8503,True,0.7527127265930176,5.71875,0.0,0.00011767085256209757
50,SHA-3-256,0.0,8500,True,0.8726258277893066,4.9375,0.0,0.00011770158235064635
50,SHA-3-512,0.0,8501,True,0.6874182224273682,5.90625,0.0,0.00011770114942528596
50,MD5,0.0,8502,True,0.6830356121063232,4.0,0.0,0.00011766090128250244
51,SHA-256,0.0,8502,True,0.6821243762969971,4.8125,0.0,0.00011767215067918756
51,SHA-512,0.0,8500,True,0.6884472370147705,5.71875,0.0,0.00011771240651979453
51,SHA-3-256,0.0,8503,True,0.693009614944458,4.9375,0.0,0.00011766003603338465
51,SHA-3-512,0.0,8501,True,0.6794369220733643,5.90625,0.0,0.00011770114942528596
51,MD5,0.0,8501,True,0.7054040431976318,4.0,0.0,0.00011767474699929257
52,SHA-256,0.0,8504,True,0.7298531532287598,4.8125,0.0,0.0001176444637250635
52,SHA-512,0.0,8504,True,0.7510664463043213,5.71875,0.0,0.00011765700776168435
52,SHA-3-256,0.0,8501,True,0.7544698715209961,4.9375,0.0,0.00011768773031856459
52,SHA-3-512,0.0,8502,True,0.688237190246582,5.90625,0.0,0.00011768729749509804
52,MD5,0.0,8504,True,0.8101489543914795,4.0,0.0,0.00011763321962121965
53,SHA-256,0.0,8501,True,0.6718230247497559,4.8125,0.0,0.00011768599904379987
53,SHA-512,0.0,8501,True,0.7775769233703613,5.71875,0.0,0.00011769855194000178
53,SHA-3-256,0.0,8501,True,0.6845643520355225,4.9375,0.0,0.00011768773031856459
53,SHA-3-512,0.0,8502,True,0.7302677631378174,5.90625,0.0,0.00011768729749509804
